#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
b_aalborg_4;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalborg_4_adj;Aalborgian;;aalborger;;;;;;;;;;;x
b_aalborg_5;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x
b_aalborg_5_adj;Aalborgian;;aalborger;;;;;;;;;;;x
b_aarhus;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
b_aarhus_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
b_aarhus_2;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
b_aarhus_2_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
b_aarhus_3;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
b_aarhus_3_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
b_aarhus_4;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
b_aarhus_4_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
b_aarhus_5;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
b_aarhus_5_adj;Aarhusian;;aarhuser;;;;;;;;;;;x
b_abadan;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
b_abadan_adj;Abadanian;;abadaner;;;;;;;;;;;x
b_abadan_2;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
b_abadan_2_adj;Abadanian;;abadaner;;;;;;;;;;;x
b_abadan_3;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
b_abadan_3_adj;Abadanian;;abadaner;;;;;;;;;;;x
b_abadan_4;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
b_abadan_4_adj;Abadanian;;abadaner;;;;;;;;;;;x
b_abadan_5;Abadan;Abadan;Abadan;;Abadan;;;;;;;;;x
b_abadan_5_adj;Abadanian;;abadaner;;;;;;;;;;;x
b_abeche;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
b_abeche_adj;Abechean;;abecher;;;;;;;;;;;x
b_abeche_2;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
b_abeche_2_adj;Abechean;;abecher;;;;;;;;;;;x
b_abeche_3;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
b_abeche_3_adj;Abechean;;abecher;;;;;;;;;;;x
b_abeche_4;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
b_abeche_4_adj;Abechean;;abecher;;;;;;;;;;;x
b_abeche_5;Abeche;Abeche;Abeche;;Abeche;;;;;;;;;x
b_abeche_5_adj;Abechean;;abecher;;;;;;;;;;;x
b_abeokuta;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
b_abeokuta_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
b_abeokuta_2;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
b_abeokuta_2_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
b_abeokuta_3;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
b_abeokuta_3_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
b_abeokuta_4;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
b_abeokuta_4_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
b_abeokuta_5;Abeokuta;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;x
b_abeokuta_5_adj;Abeokutan;;abeokuter;;;;;;;;;;;x
b_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_aberdeen_2;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_2_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_aberdeen_3;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_3_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_aberdeen_4;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_4_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_aberdeen_5;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x
b_aberdeen_5_adj;Aberdeenian;;aberdeener;;;;;;;;;;;x
b_abha;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abha_adj;Abhan;;abher;;;;;;;;;;;x
b_abha_2;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abha_2_adj;Abhan;;abher;;;;;;;;;;;x
b_abha_3;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abha_3_adj;Abhan;;abher;;;;;;;;;;;x
b_abha_4;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abha_4_adj;Abhan;;abher;;;;;;;;;;;x
b_abha_5;Abha;Abha;Abha;;Abha;;;;;;;;;x
b_abha_5_adj;Abhan;;abher;;;;;;;;;;;x
b_abkhazia;Abkhazia;Abkhazia;Abkhazia;;Abkhazia;;;;;;;;;x
b_abkhazia_adj;Abkhazian;;abkhazer;;;;;;;;;;;x
b_abkhazia_2;Abkhazia;Abkhazia;Abkhazia;;Abkhazia;;;;;;;;;x
b_abkhazia_2_adj;Abkhazian;;abkhazer;;;;;;;;;;;x
b_abkhazia_3;Abkhazia;Abkhazia;Abkhazia;;Abkhazia;;;;;;;;;x
b_abkhazia_3_adj;Abkhazian;;abkhazer;;;;;;;;;;;x
b_abomey;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
b_abomey_adj;Abomeian;;abomeer;;;;;;;;;;;x
b_abomey_2;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
b_abomey_2_adj;Abomeian;;abomeer;;;;;;;;;;;x
b_abomey_3;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
b_abomey_3_adj;Abomeian;;abomeer;;;;;;;;;;;x
b_abomey_4;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
b_abomey_4_adj;Abomeian;;abomeer;;;;;;;;;;;x
b_abomey_5;Abomey;Abomey;Abomey;;Abomey;;;;;;;;;x
b_abomey_5_adj;Abomeian;;abomeer;;;;;;;;;;;x
b_abrantes;Abrantes;Abrantes;Abrantes;;Abrantes;;;;;;;;;x
b_abrantes_adj;Abrantesian;;abranteser;;;;;;;;;;;x
b_abruzzo;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
b_abruzzo_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
b_abruzzo_2;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
b_abruzzo_2_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
b_abruzzo_3;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
b_abruzzo_3_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
b_abruzzo_4;Abruzzo;Abruzzo;Abruzzo;;Abruzzo;;;;;;;;;x
b_abruzzo_4_adj;Abruzzian;;abruzzer;;;;;;;;;;;x
b_abu_dhabi;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
b_abu_dhabi_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
b_abu_dhabi_2;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
b_abu_dhabi_2_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
b_abu_dhabi_3;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
b_abu_dhabi_3_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
b_abu_dhabi_4;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
b_abu_dhabi_4_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
b_abu_dhabi_5;Abu Dhabi;Abu Dhabi;Abu Dhabi;;Abu Dhabi;;;;;;;;;x
b_abu_dhabi_5_adj;Abu Dhabian;;Abu Dhaber;;;;;;;;;;;x
b_abuja;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
b_abuja_adj;Abujan;;abujer;;;;;;;;;;;x
b_abuja_2;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
b_abuja_2_adj;Abujan;;abujer;;;;;;;;;;;x
b_abuja_3;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
b_abuja_3_adj;Abujan;;abujer;;;;;;;;;;;x
b_abuja_4;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
b_abuja_4_adj;Abujan;;abujer;;;;;;;;;;;x
b_abuja_5;Abuja;Abuja;Abuja;;Abuja;;;;;;;;;x
b_abuja_5_adj;Abujan;;abujer;;;;;;;;;;;x
b_accra;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_2;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_2_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_3;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_3_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_4;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_4_adj;Accran;;accrer;;;;;;;;;;;x
b_accra_5;Accra;Accra;Accra;;Accra;;;;;;;;;x
b_accra_5_adj;Accran;;accrer;;;;;;;;;;;x
b_achilleio;Achilleio;Achilleio;Achilleio;;Achilleio;;;;;;;;;x
b_achilleio_adj;Achillian;;achiller;;;;;;;;;;;x
b_acre;Acre;Acre;Acre;;Acre;;;;;;;;;x
b_acre_adj;Acrean;;acrer;;;;;;;;;;;x
b_adana;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adana_adj;Adanan;;adaner;;;;;;;;;;;x
b_adana_2;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adana_2_adj;Adanan;;adaner;;;;;;;;;;;x
b_adana_3;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adana_3_adj;Adanan;;adaner;;;;;;;;;;;x
b_adana_4;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adana_4_adj;Adanan;;adaner;;;;;;;;;;;x
b_adana_5;Adana;Adana;Adana;;Adana;;;;;;;;;x
b_adana_5_adj;Adanan;;adaner;;;;;;;;;;;x
b_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_adj;Adenian;;adener;;;;;;;;;;;x
b_aden_2;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_2_adj;Adenian;;adener;;;;;;;;;;;x
b_aden_3;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_3_adj;Adenian;;adener;;;;;;;;;;;x
b_aden_4;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_4_adj;Adenian;;adener;;;;;;;;;;;x
b_aden_5;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_5_adj;Adenian;;adener;;;;;;;;;;;x
b_adjara_guria;Adjara-Guria;Adjara-Guria;Adjara-Guria;;Adjara-Guria;;;;;;;;;x
b_adjara_guria_adj;Adjara-Gurian;;adjara-gurer;;;;;;;;;;;x
b_adjara_guria_2;Adjara-Guria;Adjara-Guria;Adjara-Guria;;Adjara-Guria;;;;;;;;;x
b_adjara_guria_2_adj;Adjara-Gurian;;adjara-gurer;;;;;;;;;;;x
b_adjara_guria_3;Adjara-Guria;Adjara-Guria;Adjara-Guria;;Adjara-Guria;;;;;;;;;x
b_adjara_guria_3_adj;Adjara-Gurian;;adjara-gurer;;;;;;;;;;;x
b_adjara_guria_4;Adjara-Guria;Adjara-Guria;Adjara-Guria;;Adjara-Guria;;;;;;;;;x
b_adjara_guria_4_adj;Adjara-Gurian;;adjara-gurer;;;;;;;;;;;x
b_adygei;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
b_adygei_adj;Adygian;;adyger;;;;;;;;;;;x
b_adygei_2;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
b_adygei_2_adj;Adygian;;adyger;;;;;;;;;;;x
b_adygei_3;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
b_adygei_3_adj;Adygian;;adyger;;;;;;;;;;;x
b_adygei_4;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
b_adygei_4_adj;Adygian;;adyger;;;;;;;;;;;x
b_adygei_5;Adygei;Adygei;Adygei;;Adygei;;;;;;;;;x
b_adygei_5_adj;Adygian;;adyger;;;;;;;;;;;x
b_afrin;Afrin;Afrin;Afrin;;Afrin;;;;;;;;;x
b_afrin_adj;Afrinian;;afriner;;;;;;;;;;;x
b_afyon;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
b_afyon_adj;Afyonian;;afyoner;;;;;;;;;;;x
b_afyon_2;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
b_afyon_2_adj;Afyonian;;afyoner;;;;;;;;;;;x
b_afyon_3;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
b_afyon_3_adj;Afyonian;;afyoner;;;;;;;;;;;x
b_afyon_4;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
b_afyon_4_adj;Afyonian;;afyoner;;;;;;;;;;;x
b_afyon_5;Afyon;Afyon;Afyon;;Afyon;;;;;;;;;x
b_afyon_5_adj;Afyonian;;afyoner;;;;;;;;;;;x
b_agades;Agades;Agades;Agades;;Agades;;;;;;;;;x
b_agades_adj;Agadesian;;agadeser;;;;;;;;;;;x
b_agades_2;Agades;Agades;Agades;;Agades;;;;;;;;;x
b_agades_2_adj;Agadesian;;agadeser;;;;;;;;;;;x
b_agades_3;Agades;Agades;Agades;;Agades;;;;;;;;;x
b_agades_3_adj;Agadesian;;agadeser;;;;;;;;;;;x
b_agades_4;Agades;Agades;Agades;;Agades;;;;;;;;;x
b_agades_4_adj;Agadesian;;agadeser;;;;;;;;;;;x
b_agades_5;Agades;Agades;Agades;;Agades;;;;;;;;;x
b_agades_5_adj;Agadesian;;agadeser;;;;;;;;;;;x
b_agadir;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadir_adj;Agadirian;;agadirer;;;;;;;;;;;x
b_agadir_2;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadir_2_adj;Agadirian;;agadirer;;;;;;;;;;;x
b_agadir_3;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadir_3_adj;Agadirian;;agadirer;;;;;;;;;;;x
b_agadir_4;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadir_4_adj;Agadirian;;agadirer;;;;;;;;;;;x
b_agadir_5;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x
b_agadir_5_adj;Agadirian;;agadirer;;;;;;;;;;;x
b_agartala;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
b_agartala_adj;Agartalan;;agartaler;;;;;;;;;;;x
b_agartala_2;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
b_agartala_2_adj;Agartalan;;agartaler;;;;;;;;;;;x
b_agartala_3;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
b_agartala_3_adj;Agartalan;;agartaler;;;;;;;;;;;x
b_agartala_4;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
b_agartala_4_adj;Agartalan;;agartaler;;;;;;;;;;;x
b_agartala_5;Agartala;Agartala;Agartala;;Agartala;;;;;;;;;x
b_agartala_5_adj;Agartalan;;agartaler;;;;;;;;;;;x
b_agdam;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
b_agdam_adj;Agdamian;;agdamer;;;;;;;;;;;x
b_agdam_2;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
b_agdam_2_adj;Agdamian;;agdamer;;;;;;;;;;;x
b_agdam_3;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
b_agdam_3_adj;Agdamian;;agdamer;;;;;;;;;;;x
b_agdam_4;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
b_agdam_4_adj;Agdamian;;agdamer;;;;;;;;;;;x
b_agdam_5;Agdam;Agdam;Agdam;;Agdam;;;;;;;;;x
b_agdam_5_adj;Agdamian;;agdamer;;;;;;;;;;;x
b_agnone;Agnone;Agnone;Agnone;;Agnone;;;;;;;;;x
b_agnone_adj;Agnonean;;agnoner;;;;;;;;;;;x
b_agra;Agra;Agra;Agra;;Agra;;;;;;;;;x
b_agra_adj;Agran;;agrer;;;;;;;;;;;x
b_agra_2;Agra;Agra;Agra;;Agra;;;;;;;;;x
b_agra_2_adj;Agran;;agrer;;;;;;;;;;;x
b_agra_3;Agra;Agra;Agra;;Agra;;;;;;;;;x
b_agra_3_adj;Agran;;agrer;;;;;;;;;;;x
b_agra_4;Agra;Agra;Agra;;Agra;;;;;;;;;x
b_agra_4_adj;Agran;;agrer;;;;;;;;;;;x
b_agra_5;Agra;Agra;Agra;;Agra;;;;;;;;;x
b_agra_5_adj;Agran;;agrer;;;;;;;;;;;x
b_ahal;Ahal;Ahal;Ahal;;Ahal;;;;;;;;;x
b_ahal_adj;Ahalian;;ahaler;;;;;;;;;;;x
b_ahal_2;Ahal;Ahal;Ahal;;Ahal;;;;;;;;;x
b_ahal_2_adj;Ahalian;;ahaler;;;;;;;;;;;x
b_ahal_3;Ahal;Ahal;Ahal;;Ahal;;;;;;;;;x
b_ahal_3_adj;Ahalian;;ahaler;;;;;;;;;;;x
b_ahal_4;Ahal;Ahal;Ahal;;Ahal;;;;;;;;;x
b_ahal_4_adj;Ahalian;;ahaler;;;;;;;;;;;x
b_ahmedabad;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
b_ahmedabad_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
b_ahmedabad_2;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
b_ahmedabad_2_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
b_ahmedabad_3;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
b_ahmedabad_3_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
b_ahmedabad_4;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
b_ahmedabad_4_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
b_ahmedabad_5;Ahmedabad;Ahmedabad;Ahmedabad;;Ahmedabad;;;;;;;;;x
b_ahmedabad_5_adj;Ahmedabadian;;ahmedabader;;;;;;;;;;;x
b_ahvaz;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_ahvaz_adj;Ahvazian;;ahvazer;;;;;;;;;;;x
b_ahvaz_2;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_ahvaz_2_adj;Ahvazian;;ahvazer;;;;;;;;;;;x
b_ahvaz_3;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_ahvaz_3_adj;Ahvazian;;ahvazer;;;;;;;;;;;x
b_ahvaz_4;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_ahvaz_4_adj;Ahvazian;;ahvazer;;;;;;;;;;;x
b_ahvaz_5;Ahvaz;Ahvaz;Ahvaz;;Ahvaz;;;;;;;;;x
b_ahvaz_5_adj;Ahvazian;;ahvazer;;;;;;;;;;;x
b_ajdir;Ajdir;Ajdir;Ajdir;;Ajdir;;;;;;;;;x
b_ajdir_adj;Ajdirian;;ajdirer;;;;;;;;;;;x
b_ajdir_2;Ajdir;Ajdir;Ajdir;;Ajdir;;;;;;;;;x
b_ajdir_2_adj;Ajdirian;;ajdirer;;;;;;;;;;;x
b_ajdir_3;Ajdir;Ajdir;Ajdir;;Ajdir;;;;;;;;;x
b_ajdir_3_adj;Ajdirian;;ajdirer;;;;;;;;;;;x
b_ajdir_4;Ajdir;Ajdir;Ajdir;;Ajdir;;;;;;;;;x
b_ajdir_4_adj;Ajdirian;;ajdirer;;;;;;;;;;;x
b_ajdir_5;Ajdir;Ajdir;Ajdir;;Ajdir;;;;;;;;;x
b_ajdir_5_adj;Ajdirian;;ajdirer;;;;;;;;;;;x
b_ajloun;Ajloun;Ajloun;Ajloun;;Ajloun;;;;;;;;;x
b_ajloun_adj;Ajlounian;;ajlouner;;;;;;;;;;;x
b_ajmer;Ajmer;Ajmer;Ajmer;;Ajmer;;;;;;;;;x
b_ajmer_adj;Ajmerian;;ajmerer;;;;;;;;;;;x
b_ajmer_2;Ajmer;Ajmer;Ajmer;;Ajmer;;;;;;;;;x
b_ajmer_2_adj;Ajmerian;;ajmerer;;;;;;;;;;;x
b_ajmer_3;Ajmer;Ajmer;Ajmer;;Ajmer;;;;;;;;;x
b_ajmer_3_adj;Ajmerian;;ajmerer;;;;;;;;;;;x
b_ajmer_4;Ajmer;Ajmer;Ajmer;;Ajmer;;;;;;;;;x
b_ajmer_4_adj;Ajmerian;;ajmerer;;;;;;;;;;;x
b_ajmer_5;Ajmer;Ajmer;Ajmer;;Ajmer;;;;;;;;;x
b_ajmer_5_adj;Ajmerian;;ajmerer;;;;;;;;;;;x
b_akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;;Akhaltsikhe;;;;;;;;;x
b_akhaltsikhe_adj;Akhaltsikhean;;akhaltsikher;;;;;;;;;;;x
b_akordat;Akordat;Akordat;Akordat;;Akordat;;;;;;;;;x
b_akordat_adj;Akordatian;;akordater;;;;;;;;;;;x
b_akordat_2;Akordat;Akordat;Akordat;;Akordat;;;;;;;;;x
b_akordat_2_adj;Akordatian;;akordater;;;;;;;;;;;x
b_akordat_3;Akordat;Akordat;Akordat;;Akordat;;;;;;;;;x
b_akordat_3_adj;Akordatian;;akordater;;;;;;;;;;;x
b_akordat_4;Akordat;Akordat;Akordat;;Akordat;;;;;;;;;x
b_akordat_4_adj;Akordatian;;akordater;;;;;;;;;;;x
b_akordat_5;Akordat;Akordat;Akordat;;Akordat;;;;;;;;;x
b_akordat_5_adj;Akordatian;;akordater;;;;;;;;;;;x
b_akoupe;Akoupe;Akoupe;Akoupe;;Akoupe;;;;;;;;;x
b_akoupe_adj;Akoupean;;akouper;;;;;;;;;;;x
b_akoupe_2;Akoupe;Akoupe;Akoupe;;Akoupe;;;;;;;;;x
b_akoupe_2_adj;Akoupean;;akouper;;;;;;;;;;;x
b_akoupe_3;Akoupe;Akoupe;Akoupe;;Akoupe;;;;;;;;;x
b_akoupe_3_adj;Akoupean;;akouper;;;;;;;;;;;x
b_akoupe_4;Akoupe;Akoupe;Akoupe;;Akoupe;;;;;;;;;x
b_akoupe_4_adj;Akoupean;;akouper;;;;;;;;;;;x
b_akoupe_5;Akoupe;Akoupe;Akoupe;;Akoupe;;;;;;;;;x
b_akoupe_5_adj;Akoupean;;akouper;;;;;;;;;;;x
b_aksarka;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_10;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_10_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_2;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_2_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_3;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_3_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_4;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_4_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_5;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_5_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_6;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_6_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_7;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_7_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_8;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_8_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksarka_9;Aksarka;Aksarka;Aksarka;;Aksarka;;;;;;;;;x
b_aksarka_9_adj;Aksarkan;;aksarker;;;;;;;;;;;x
b_aksum;Aksum;Aksum;Aksum;;Aksum;;;;;;;;;x
b_aksum_adj;Aksumian;;aksumer;;;;;;;;;;;x
b_aksum_2;Aksum;Aksum;Aksum;;Aksum;;;;;;;;;x
b_aksum_2_adj;Aksumian;;aksumer;;;;;;;;;;;x
b_aksum_3;Aksum;Aksum;Aksum;;Aksum;;;;;;;;;x
b_aksum_3_adj;Aksumian;;aksumer;;;;;;;;;;;x
b_aksum_4;Aksum;Aksum;Aksum;;Aksum;;;;;;;;;x
b_aksum_4_adj;Aksumian;;aksumer;;;;;;;;;;;x
b_aksum_5;Aksum;Aksum;Aksum;;Aksum;;;;;;;;;x
b_aksum_5_adj;Aksumian;;aksumer;;;;;;;;;;;x
b_aktash;Aktash;Aktash;Aktash;;Aktash;;;;;;;;;x
b_aktash_adj;Aktashian;;aktasher;;;;;;;;;;;x
