communist;Communist;Communist;Communist;;Communist;;;;;;;;;x
EVTOPTBOryxevents.06;That is merely the price of progress;That is merely the price of progress;That is merely the price of progress;;That is merely the price of progress;;;;;;;;;x
EVTDESCOryxevents.07;Today, I was approached by a young idealist. While many of his dreams were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;Today, I was approached by a young idealist. While many of his dreams were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;Today, I was approached by a young idealist. While many of his dreams were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;;Today, I was approached by a young idealist. While many of his dreams were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;;;;;;;;;x
EVTOPTAOryxevents.07;These policies will benefit the populace;These policies will benefit the populace;These policies will benefit the populace;;These policies will benefit the populace;;;;;;;;;x
EVTOPTBOryxevents.07;But the right would then refuse compromise;But the right would then refuse compromise;But the right would then refuse compromise;;But the right would then refuse compromise;;;;;;;;;x
EVTDESCOryxevents.08;Every day my fight for the environment loses ground. Nobody listens to my policies, and denounces my ideas for a lack of a true ideology.;Every day my fight for the environment loses ground. Nobody listens to my policies, and denounces my ideas for a lack of a true ideology.;Every day my fight for the environment loses ground. Nobody listens to my policies, and denounces my ideas for a lack of a true ideology.;;Every day my fight for the environment loses ground. Nobody listens to my policies, and denounces my ideas for a lack of a true ideology.;;;;;;;;;x
EVTOPTAOryxevents.08;Perhaps I should adopt a 'true' ideology;Perhaps I should adopt a 'true' ideology;Perhaps I should adopt a 'true' ideology;;Perhaps I should adopt a 'true' ideology;;;;;;;;;x
EVTOPTBOryxevents.08;The Green Party fights on!;The Green Party fights on!;The Green Party fights on!;;The Green Party fights on!;;;;;;;;;x
EVTDESCOryxevents.09;In today's modern age, the European Union has brought Europe closer together than ever before. Perhaps humanity should take it one step further and unite Europe under a single government?;In today's modern age, the European Union has brought Europe closer together than ever before. Perhaps humanity should take it one step further and unite Europe under a single government?;In today's modern age, the European Union has brought Europe closer together than ever before. Perhaps humanity should take it one step further and unite Europe under a single government?;;In today's modern age, the European Union has brought Europe closer together than ever before. Perhaps humanity should take it one step further and unite Europe under a single government?;;;;;;;;;x
EVTOPTAOryxevents.09;One nation, one world!;One nation, one world!;One nation, one world!;;One nation, one world!;;;;;;;;;x
EVTOPTBOryxevents.09;That is merely a pipe dream!;That is merely a pipe dream!;That is merely a pipe dream!;;That is merely a pipe dream!;;;;;;;;;x
EVTDESCOryxevents.10;My dreams of progress have come up empty handed. The people still cling to their empty dream of 'nationalism,' and those that due agree with me are all militarists.;My dreams of progress have come up empty handed. The people still cling to their empty dream of 'nationalism,' and those that due agree with me are all militarists.;My dreams of progress have come up empty handed. The people still cling to their empty dream of 'nationalism,' and those that due agree with me are all militarists.;;My dreams of progress have come up empty handed. The people still cling to their empty dream of 'nationalism,' and those that due agree with me are all militarists.;;;;;;;;;x
EVTOPTAOryxevents.10;I should work on changing my homeland.;I should work on changing my homeland.;I should work on changing my homeland.;;I should work on changing my homeland.;;;;;;;;;x
EVTOPTBOryxevents.10;I can still make this work;I can still make this work;I can still make this work;;I can still make this work;;;;;;;;;x
EVTDESCOryxevents.11;Today, I was approached by a wealthy entrepreneur. While many of his demands were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;Today, I was approached by a wealthy entrepreneur. While many of his demands were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;Today, I was approached by a wealthy entrepreneur. While many of his demands were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;;Today, I was approached by a wealthy entrepreneur. While many of his demands were far-fetched and outside political reality, many more seemed just a bit more radical then my own beliefs.;;;;;;;;;x
EVTOPTAOryxevents.11;These policies will benefit the state;These policies will benefit the state;These policies will benefit the state;;These policies will benefit the state;;;;;;;;;x
EVTOPTBOryxevents.11;But the left would then refuse compromise;But the left would then refuse compromise;But the left would then refuse compromise;;But the left would then refuse compromise;;;;;;;;;x
EVTDESCOryxevents.12;While many of your ideas have benefited from the deregulation of industry, many others have not. Particularly, immigrants are taking those jobs you fought so hard to keep here.;While many of your ideas have benefited from the deregulation of industry, many others have not. Particularly, immigrants are taking those jobs you fought so hard to keep here.;While many of your ideas have benefited from the deregulation of industry, many others have not. Particularly, immigrants are taking those jobs you fought so hard to keep here.;;While many of your ideas have benefited from the deregulation of industry, many others have not. Particularly, immigrants are taking those jobs you fought so hard to keep here.;;;;;;;;;x
EVTOPTAOryxevents.12;The State is King!;The State is King!;The State is King!;;The State is King!;;;;;;;;;x
EVTOPTBOryxevents.12;I'm not Hitler!;I'm not Hitler!;I'm not Hitler!;;I'm not Hitler!;;;;;;;;;x
EVTDESCOryxevents.13;While the fight continues, I now feel the demands of my politics more and more. Age has shown me that the best policy is compromise rather than reaction.;While the fight continues, I now feel the demands of my politics more and more. Age has shown me that the best policy is compromise rather than reaction.;While the fight continues, I now feel the demands of my politics more and more. Age has shown me that the best policy is compromise rather than reaction.;;While the fight continues, I now feel the demands of my politics more and more. Age has shown me that the best policy is compromise rather than reaction.;;;;;;;;;x
EVTOPTAOryxevents.13;Compromise over all;Compromise over all;Compromise over all;;Compromise over all;;;;;;;;;x
EVTOPTBOryxevents.13;Society must be protected;Society must be protected;Society must be protected;;Society must be protected;;;;;;;;;x
EVTDESCOryxevents.14;The daily debates have changed my. While some of my ideologies remain intact, others have changed due to compromise from the other side.;The daily debates have changed my. While some of my ideologies remain intact, others have changed due to compromise from the other side.;The daily debates have changed my. While some of my ideologies remain intact, others have changed due to compromise from the other side.;;The daily debates have changed my. While some of my ideologies remain intact, others have changed due to compromise from the other side.;;;;;;;;;x
EVTOPTAOryxevents.14;The left is right;The left is right;The left is right;;The left is right;;;;;;;;x
EVTOPTBOryxevents.14;The right is true;The right is true;The right is true;;The right is true;;;;;;;;x
EVTOPTCOryxevents.14;My beliefs are the best way forward!;My beliefs are the best way forward!;My beliefs are the best way forward!;;My beliefs are the best way forward!;;;;;;;;;x
EVTDESCOryxevents.15;I have recently come to realize that many of the ideas that believe in are not supported by my husband. Perhaps I should take some measures to ensure that he follows the right path through life.;I have recently come to realize that many of the ideas that believe in are not supported by my husband. Perhaps I should take some measures to ensure that he follows the right path through life.;I have recently come to realize that many of the ideas that believe in are not supported by my husband. Perhaps I should take some measures to ensure that he follows the right path through life.;;I have recently come to realize that many of the ideas that believe in are not supported by my husband. Perhaps I should take some measures to ensure that he follows the right path through life.;;;;;;;;;x
EVTOPTAOryxevents.15;I will confront him;I will confront him;I will confront him;;I will confront him;;;;;;;;;x
EVTTOOLTIPOryx.1;Your husband receives an event;Your husband receives an event;Your husband receives an event;;Your husband receives an event;;;;;;;;;x
EVTOPTBOryxevents.15;We all walk our separate paths;We all walk our separate paths;We all walk our separate paths;;We all walk our separate paths;;;;;;;;;x
EVTOPTCOryxevents.15;He will listen!;He will listen!;He will listen!;;He will listen!;;;;;;;;;x
EVTDESCOryxevents.16;Recently, my beloved wife has been dropping subtle hints that she wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear her opinion.;Recently, my beloved wife has been dropping subtle hints that she wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear her opinion.;Recently, my beloved wife has been dropping subtle hints that she wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear her opinion.;;Recently, my beloved wife has been dropping subtle hints that she wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear her opinion.;;;;;;;;;x
EVTOPTAOryxevents.16;I will hear her out;I will hear her out;I will hear her out;;I will hear her out;;;;;;;;;x
EVTTOOLTIPOryx.2;Your wife receives a event;Your wife receives a event;Your wife receives a event;;Your wife receives a event;;;;;;;;x
EVTOPTBOryxevents.16;Stay out of this Woman!;Stay out of this Woman!;Stay out of this Woman!;;Stay out of this Woman!;;;;;;;;;x
EVTDESCOryxevents.17;Tonight at dinner, my wife surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;Tonight at dinner, my wife surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;Tonight at dinner, my wife surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;;Tonight at dinner, my wife surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;;;;;;;;;x
EVTOPTAOryxevents.17;I will hear her talk;I will hear her talk;I will hear her talk;;I will hear her talk;;;;;;;;;x
EVTOPTBOryxevents.17;I rule, not her!;I rule, not her!;I rule, not her!;;I rule, not her!;;;;;;;;;x
EVTDESCOryxevents.18;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;;;;;;;;;x
EVTOPTAOryxevents.18;He will know Communism;He will know Communism;He will know Communism;;He will know Communism;;;;;;;;;x
EVTTOOLTIPOryx.4;Your husband decides on politics;Your husband decides on politics;Your husband decides on politics;;Your husband decides on politics;;;;;;;;;x
EVTOPTBOryxevents.18;He will know Socialism;He will know Socialism;He will know Socialism;;He will know Socialism;;;;;;;;;x
EVTOPTCOryxevents.18;He will know Liberalism;He will know Liberalism;He will know Liberalism;;He will know Liberalism;;;;;;;;;x
EVTOPTAOryxevents.41;He will know Centralism;He will know Centralism;He will know Centralism;;He will know Centralism;;;;;;;;;x
EVTOPTBOryxevents.41;He will know Conservatism;He will know Conservatism;He will know Conservatism;;He will know Conservatism;;;;;;;;;x
EVTOPTCOryxevents.41;He will know Neo-Liberalism;He will know Neo-Liberalism;He will know Neo-Liberalism;;He will know Neo-Liberalism;;;;;;;;;x
EVTOPTAOryxevents.42;He will know Fascism;He will know Fascism;He will know Fascism;;He will know Fascism;;;;;;;;;x
EVTOPTBOryxevents.42;He will know Environmentalism;He will know Environmentalism;He will know Environmentalism;;He will know Environmentalism;;;;;;;;;x
EVTOPTCOryxevents.42;He will know Globalism;He will know Globalism;He will know Globalism;;He will know Globalism;;;;;;;;;x
EVTDESCOryxevents.19;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.19;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.19;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.19;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.20;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.20;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.20;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.20;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.21;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.21;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.21;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.21;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.22;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.22;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.22;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.22;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.23;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.23;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.23;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.23;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.24;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.24;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.24;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.24;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.25;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.25;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.25;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.25;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.26;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.26;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.26;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.26;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.27;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my wife, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.27;I agree with her.;I agree with her.;I agree with her.;;I agree with her.;;;;;;;;;x
EVTOPTBOryxevents.27;She is in the wrong!;She is in the wrong!;She is in the wrong!;;She is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.27;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;Silly woman, I believe in the same ideals!;;Silly woman, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.28;I have recently come to realize that many of the ideas that believe in are not supported by my wife. Perhaps I should take some measures to ensure that she follows the right path through life.;I have recently come to realize that many of the ideas that believe in are not supported by my wife. Perhaps I should take some measures to ensure that she follows the right path through life.;I have recently come to realize that many of the ideas that believe in are not supported by my wife. Perhaps I should take some measures to ensure that she follows the right path through life.;;I have recently come to realize that many of the ideas that believe in are not supported by my wife. Perhaps I should take some measures to ensure that she follows the right path through life.;;;;;;;;;x
EVTOPTAOryxevents.28;I will confront her;I will confront her;I will confront her;;I will confront her;;;;;;;;;x
EVTOPTBOryxevents.28;We all walk our separate paths;We all walk our separate paths;We all walk our separate paths;;We all walk our separate paths;;;;;;;;;x
EVTOPTCOryxevents.28;She will listen!;She will listen!;She will listen!;;She will listen!;;;;;;;;;x
EVTDESCOryxevents.29;Recently, my beloved husband has been dropping subtle hints that he wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear his opinion.;Recently, my beloved husband has been dropping subtle hints that he wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear his opinion.;Recently, my beloved husband has been dropping subtle hints that he wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear his opinion.;;Recently, my beloved husband has been dropping subtle hints that he wants to talk to me about issues of politics. While administering the realm is my task, I should probably hear his opinion.;;;;;;;;;x
EVTOPTAOryxevents.29;I will hear him out;I will hear him out;I will hear him out;;I will hear him out;;;;;;;;;x
EVTOPTBOryxevents.29;Stay out of this Husband!;Stay out of this Husband!;Stay out of this Husband!;;Stay out of this Husband!;;;;;;;;;x
EVTDESCOryxevents.30;Tonight at dinner, my husband surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;Tonight at dinner, my husband surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;Tonight at dinner, my husband surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;;Tonight at dinner, my husband surprised me by demanding that I listen too views on a wide variety of issues. While many of them appear different from my own, I feel compelled to listen to the true power behind the throne.;;;;;;;;;x
EVTOPTAOryxevents.30;I will hear her talk;I will hear her talk;I will hear her talk;;I will hear her talk;;;;;;;;;x
EVTOPTBOryxevents.30;I rule, not her!;I rule, not her!;I rule, not her!;;I rule, not her!;;;;;;;;;x
